"","X","Time","prob"
"1",1,1,0.798920086393089
"2",2,2,0.797840172786177
"3",3,3,0.796760259179266
"4",4,4,0.795680345572354
"5",5,5,0.794600431965443
"6",6,6,0.793520518358531
"7",7,7,0.79244060475162
"8",8,8,0.791360691144708
"9",9,9,0.790280777537797
"10",10,10,0.789200863930886
"11",11,11,0.788120950323974
"12",12,12,0.787041036717063
"13",13,13,0.785961123110151
"14",14,14,0.78488120950324
"15",15,15,0.783801295896328
"16",16,16,0.782721382289417
"17",17,17,0.781641468682505
"18",18,18,0.780561555075594
"19",19,19,0.779481641468682
"20",20,20,0.778401727861771
"21",21,21,0.77732181425486
"22",22,22,0.776241900647948
"23",23,23,0.775161987041037
"24",24,24,0.774082073434125
"25",25,25,0.773002159827214
"26",26,26,0.771922246220302
"27",27,27,0.770842332613391
"28",28,28,0.769762419006479
"29",29,29,0.768682505399568
"30",30,30,0.767602591792657
"31",31,31,0.766522678185745
"32",32,32,0.765442764578834
"33",33,33,0.764362850971922
"34",34,34,0.763282937365011
"35",35,35,0.762203023758099
"36",36,36,0.761123110151188
"37",37,37,0.760043196544276
"38",38,38,0.758963282937365
"39",39,39,0.757883369330454
"40",40,40,0.756803455723542
"41",41,41,0.755723542116631
"42",42,42,0.754643628509719
"43",43,43,0.753563714902808
"44",44,44,0.752483801295896
"45",45,45,0.751403887688985
"46",46,46,0.750323974082073
"47",47,47,0.749244060475162
"48",48,48,0.748164146868251
"49",49,49,0.747084233261339
"50",50,50,0.746004319654428
"51",51,51,0.744924406047516
"52",52,52,0.743844492440605
"53",53,53,0.742764578833693
"54",54,54,0.741684665226782
"55",55,55,0.74060475161987
"56",56,56,0.739524838012959
"57",57,57,0.738444924406047
"58",58,58,0.737365010799136
"59",59,59,0.736285097192225
"60",60,60,0.735205183585313
"61",61,61,0.734125269978402
"62",62,62,0.73304535637149
"63",63,63,0.731965442764579
"64",64,64,0.730885529157667
"65",65,65,0.729805615550756
"66",66,66,0.728725701943844
"67",67,67,0.727645788336933
"68",68,68,0.726565874730022
"69",69,69,0.72548596112311
"70",70,70,0.724406047516199
"71",71,71,0.723326133909287
"72",72,72,0.722246220302376
"73",73,73,0.721166306695464
"74",74,74,0.720086393088553
"75",75,75,0.719006479481641
"76",76,76,0.71792656587473
"77",77,77,0.716846652267819
"78",78,78,0.715766738660907
"79",79,79,0.714686825053996
"80",80,80,0.713606911447084
"81",81,81,0.712526997840173
"82",82,82,0.711447084233261
"83",83,83,0.71036717062635
"84",84,84,0.709287257019438
"85",85,85,0.708207343412527
"86",86,86,0.707127429805616
"87",87,87,0.706047516198704
"88",88,88,0.704967602591793
"89",89,89,0.703887688984881
"90",90,90,0.70280777537797
"91",91,91,0.701727861771058
"92",92,92,0.700647948164147
"93",93,93,0.699568034557235
"94",94,94,0.698488120950324
"95",95,95,0.697408207343413
"96",96,96,0.696328293736501
"97",97,97,0.69524838012959
"98",98,98,0.694168466522678
"99",99,99,0.693088552915767
"100",100,100,0.692008639308855
"101",101,101,0.690928725701944
"102",102,102,0.689848812095032
"103",103,103,0.688768898488121
"104",104,104,0.687688984881209
"105",105,105,0.686609071274298
"106",106,106,0.685529157667387
"107",107,107,0.684449244060475
"108",108,108,0.683369330453564
"109",109,109,0.682289416846652
"110",110,110,0.681209503239741
"111",111,111,0.680129589632829
"112",112,112,0.679049676025918
"113",113,113,0.677969762419006
"114",114,114,0.676889848812095
"115",115,115,0.675809935205184
"116",116,116,0.674730021598272
"117",117,117,0.673650107991361
"118",118,118,0.672570194384449
"119",119,119,0.671490280777538
"120",120,120,0.670410367170626
"121",121,121,0.669330453563715
"122",122,122,0.668250539956803
"123",123,123,0.667170626349892
"124",124,124,0.666090712742981
"125",125,125,0.665010799136069
"126",126,126,0.663930885529158
"127",127,127,0.662850971922246
"128",128,128,0.661771058315335
"129",129,129,0.660691144708423
"130",130,130,0.659611231101512
"131",131,131,0.6585313174946
"132",132,132,0.657451403887689
"133",133,133,0.656371490280778
"134",134,134,0.655291576673866
"135",135,135,0.654211663066955
"136",136,136,0.653131749460043
"137",137,137,0.652051835853132
"138",138,138,0.65097192224622
"139",139,139,0.649892008639309
"140",140,140,0.648812095032397
"141",141,141,0.647732181425486
"142",142,142,0.646652267818575
"143",143,143,0.645572354211663
"144",144,144,0.644492440604752
"145",145,145,0.64341252699784
"146",146,146,0.642332613390929
"147",147,147,0.641252699784017
"148",148,148,0.640172786177106
"149",149,149,0.639092872570194
"150",150,150,0.638012958963283
"151",151,151,0.636933045356372
"152",152,152,0.63585313174946
"153",153,153,0.634773218142549
"154",154,154,0.633693304535637
"155",155,155,0.632613390928726
"156",156,156,0.631533477321814
"157",157,157,0.630453563714903
"158",158,158,0.629373650107991
"159",159,159,0.62829373650108
"160",160,160,0.627213822894168
"161",161,161,0.626133909287257
"162",162,162,0.625053995680346
"163",163,163,0.623974082073434
"164",164,164,0.622894168466523
"165",165,165,0.621814254859611
"166",166,166,0.6207343412527
"167",167,167,0.619654427645788
"168",168,168,0.618574514038877
"169",169,169,0.617494600431965
"170",170,170,0.616414686825054
"171",171,171,0.615334773218143
"172",172,172,0.614254859611231
"173",173,173,0.61317494600432
"174",174,174,0.612095032397408
"175",175,175,0.611015118790497
"176",176,176,0.609935205183585
"177",177,177,0.608855291576674
"178",178,178,0.607775377969762
"179",179,179,0.606695464362851
"180",180,180,0.60561555075594
"181",181,181,0.604535637149028
"182",182,182,0.603455723542117
"183",183,183,0.602375809935205
"184",184,184,0.601295896328294
"185",185,185,0.600215982721382
"186",186,186,0.599136069114471
"187",187,187,0.598056155507559
"188",188,188,0.596976241900648
"189",189,189,0.595896328293737
"190",190,190,0.594816414686825
"191",191,191,0.593736501079914
"192",192,192,0.592656587473002
"193",193,193,0.591576673866091
"194",194,194,0.590496760259179
"195",195,195,0.589416846652268
"196",196,196,0.588336933045356
"197",197,197,0.587257019438445
"198",198,198,0.586177105831533
"199",199,199,0.585097192224622
"200",200,200,0.584017278617711
"201",201,201,0.582937365010799
"202",202,202,0.581857451403888
"203",203,203,0.580777537796976
"204",204,204,0.579697624190065
"205",205,205,0.578617710583153
"206",206,206,0.577537796976242
"207",207,207,0.57645788336933
"208",208,208,0.575377969762419
"209",209,209,0.574298056155508
"210",210,210,0.573218142548596
"211",211,211,0.572138228941685
"212",212,212,0.571058315334773
"213",213,213,0.569978401727862
"214",214,214,0.56889848812095
"215",215,215,0.567818574514039
"216",216,216,0.566738660907127
"217",217,217,0.565658747300216
"218",218,218,0.564578833693305
"219",219,219,0.563498920086393
"220",220,220,0.562419006479482
"221",221,221,0.56133909287257
"222",222,222,0.560259179265659
"223",223,223,0.559179265658747
"224",224,224,0.558099352051836
"225",225,225,0.557019438444924
"226",226,226,0.555939524838013
"227",227,227,0.554859611231102
"228",228,228,0.55377969762419
"229",229,229,0.552699784017279
"230",230,230,0.551619870410367
"231",231,231,0.550539956803456
"232",232,232,0.549460043196544
"233",233,233,0.548380129589633
"234",234,234,0.547300215982721
"235",235,235,0.54622030237581
"236",236,236,0.545140388768898
"237",237,237,0.544060475161987
"238",238,238,0.542980561555076
"239",239,239,0.541900647948164
"240",240,240,0.540820734341253
"241",241,241,0.539740820734341
"242",242,242,0.53866090712743
"243",243,243,0.537580993520518
"244",244,244,0.536501079913607
"245",245,245,0.535421166306695
"246",246,246,0.534341252699784
"247",247,247,0.533261339092873
"248",248,248,0.532181425485961
"249",249,249,0.53110151187905
"250",250,250,0.530021598272138
"251",251,251,0.528941684665227
"252",252,252,0.527861771058315
"253",253,253,0.526781857451404
"254",254,254,0.525701943844492
"255",255,255,0.524622030237581
"256",256,256,0.52354211663067
"257",257,257,0.522462203023758
"258",258,258,0.521382289416847
"259",259,259,0.520302375809935
"260",260,260,0.519222462203024
"261",261,261,0.518142548596112
"262",262,262,0.517062634989201
"263",263,263,0.515982721382289
"264",264,264,0.514902807775378
"265",265,265,0.513822894168466
"266",266,266,0.512742980561555
"267",267,267,0.511663066954644
"268",268,268,0.510583153347732
"269",269,269,0.509503239740821
"270",270,270,0.508423326133909
"271",271,271,0.507343412526998
"272",272,272,0.506263498920086
"273",273,273,0.505183585313175
"274",274,274,0.504103671706263
"275",275,275,0.503023758099352
"276",276,276,0.501943844492441
"277",277,277,0.500863930885529
"278",278,278,0.499784017278618
"279",279,279,0.498704103671706
"280",280,280,0.497624190064795
"281",281,281,0.496544276457883
"282",282,282,0.495464362850972
"283",283,283,0.49438444924406
"284",284,284,0.493304535637149
"285",285,285,0.492224622030238
"286",286,286,0.491144708423326
"287",287,287,0.490064794816415
"288",288,288,0.488984881209503
"289",289,289,0.487904967602592
"290",290,290,0.48682505399568
"291",291,291,0.485745140388769
"292",292,292,0.484665226781857
"293",293,293,0.483585313174946
"294",294,294,0.482505399568035
"295",295,295,0.481425485961123
"296",296,296,0.480345572354212
"297",297,297,0.4792656587473
"298",298,298,0.478185745140389
"299",299,299,0.477105831533477
"300",300,300,0.476025917926566
"301",301,301,0.474946004319654
"302",302,302,0.473866090712743
"303",303,303,0.472786177105831
"304",304,304,0.47170626349892
"305",305,305,0.470626349892009
"306",306,306,0.469546436285097
"307",307,307,0.468466522678186
"308",308,308,0.467386609071274
"309",309,309,0.466306695464363
"310",310,310,0.465226781857451
"311",311,311,0.46414686825054
"312",312,312,0.463066954643629
"313",313,313,0.461987041036717
"314",314,314,0.460907127429806
"315",315,315,0.459827213822894
"316",316,316,0.458747300215983
"317",317,317,0.457667386609071
"318",318,318,0.45658747300216
"319",319,319,0.455507559395248
"320",320,320,0.454427645788337
"321",321,321,0.453347732181425
"322",322,322,0.452267818574514
"323",323,323,0.451187904967603
"324",324,324,0.450107991360691
"325",325,325,0.44902807775378
"326",326,326,0.447948164146868
"327",327,327,0.446868250539957
"328",328,328,0.445788336933045
"329",329,329,0.444708423326134
"330",330,330,0.443628509719223
"331",331,331,0.442548596112311
"332",332,332,0.4414686825054
"333",333,333,0.440388768898488
"334",334,334,0.439308855291577
"335",335,335,0.438228941684665
"336",336,336,0.437149028077754
"337",337,337,0.436069114470842
"338",338,338,0.434989200863931
"339",339,339,0.433909287257019
"340",340,340,0.432829373650108
"341",341,341,0.431749460043197
"342",342,342,0.430669546436285
"343",343,343,0.429589632829374
"344",344,344,0.428509719222462
"345",345,345,0.427429805615551
"346",346,346,0.426349892008639
"347",347,347,0.425269978401728
"348",348,348,0.424190064794816
"349",349,349,0.423110151187905
"350",350,350,0.422030237580993
"351",351,351,0.420950323974082
"352",352,352,0.419870410367171
"353",353,353,0.418790496760259
"354",354,354,0.417710583153348
"355",355,355,0.416630669546436
"356",356,356,0.415550755939525
"357",357,357,0.414470842332613
"358",358,358,0.413390928725702
"359",359,359,0.412311015118791
"360",360,360,0.411231101511879
"361",361,361,0.410151187904968
"362",362,362,0.409071274298056
"363",363,363,0.407991360691145
"364",364,364,0.406911447084233
"365",365,365,0.405831533477322
"366",366,366,0.40475161987041
"367",367,367,0.403671706263499
"368",368,368,0.402591792656587
"369",369,369,0.401511879049676
"370",370,370,0.400431965442765
"371",371,371,0.399352051835853
"372",372,372,0.398272138228942
"373",373,373,0.39719222462203
"374",374,374,0.396112311015119
"375",375,375,0.395032397408207
"376",376,376,0.393952483801296
"377",377,377,0.392872570194384
"378",378,378,0.391792656587473
"379",379,379,0.390712742980561
"380",380,380,0.38963282937365
"381",381,381,0.388552915766739
"382",382,382,0.387473002159827
"383",383,383,0.386393088552916
"384",384,384,0.385313174946004
"385",385,385,0.384233261339093
"386",386,386,0.383153347732181
"387",387,387,0.38207343412527
"388",388,388,0.380993520518359
"389",389,389,0.379913606911447
"390",390,390,0.378833693304536
"391",391,391,0.377753779697624
"392",392,392,0.376673866090713
"393",393,393,0.375593952483801
"394",394,394,0.37451403887689
"395",395,395,0.373434125269978
"396",396,396,0.372354211663067
"397",397,397,0.371274298056155
"398",398,398,0.370194384449244
"399",399,399,0.369114470842333
"400",400,400,0.368034557235421
"401",401,401,0.36695464362851
"402",402,402,0.365874730021598
"403",403,403,0.364794816414687
"404",404,404,0.363714902807775
"405",405,405,0.362634989200864
"406",406,406,0.361555075593953
"407",407,407,0.360475161987041
"408",408,408,0.35939524838013
"409",409,409,0.358315334773218
"410",410,410,0.357235421166307
"411",411,411,0.356155507559395
"412",412,412,0.355075593952484
"413",413,413,0.353995680345572
"414",414,414,0.352915766738661
"415",415,415,0.351835853131749
"416",416,416,0.350755939524838
"417",417,417,0.349676025917927
"418",418,418,0.348596112311015
"419",419,419,0.347516198704104
"420",420,420,0.346436285097192
"421",421,421,0.345356371490281
"422",422,422,0.344276457883369
"423",423,423,0.343196544276458
"424",424,424,0.342116630669546
"425",425,425,0.341036717062635
"426",426,426,0.339956803455724
"427",427,427,0.338876889848812
"428",428,428,0.337796976241901
"429",429,429,0.336717062634989
"430",430,430,0.335637149028078
"431",431,431,0.334557235421166
"432",432,432,0.333477321814255
"433",433,433,0.332397408207343
"434",434,434,0.331317494600432
"435",435,435,0.330237580993521
"436",436,436,0.329157667386609
"437",437,437,0.328077753779698
"438",438,438,0.326997840172786
"439",439,439,0.325917926565875
"440",440,440,0.324838012958963
"441",441,441,0.323758099352052
"442",442,442,0.32267818574514
"443",443,443,0.321598272138229
"444",444,444,0.320518358531317
"445",445,445,0.319438444924406
"446",446,446,0.318358531317495
"447",447,447,0.317278617710583
"448",448,448,0.316198704103672
"449",449,449,0.31511879049676
"450",450,450,0.314038876889849
"451",451,451,0.312958963282937
"452",452,452,0.311879049676026
"453",453,453,0.310799136069114
"454",454,454,0.309719222462203
"455",455,455,0.308639308855292
"456",456,456,0.30755939524838
"457",457,457,0.306479481641469
"458",458,458,0.305399568034557
"459",459,459,0.304319654427646
"460",460,460,0.303239740820734
"461",461,461,0.302159827213823
"462",462,462,0.301079913606911
"463",463,463,0.3
